,Train,valid,Test
2,"[38, 49, 45, 50, 33, 47, 15, 31, 3, 1, 37, 34, 23, 6, 2, 19, 12, 20, 25, 30, 26, 16, 9, 28, 11, 27, 22, 41, 24, 46, 21, 29, 32, 18, 44, 40, 35, 39, 13]","[14, 17, 5, 36, 4, 42, 10, 8, 48, 43]",[7]
3,"[25, 10, 36, 15, 12, 24, 46, 9, 47, 33, 22, 41, 13, 2, 28, 38, 5, 40, 23, 37, 16, 29, 43, 17, 50, 20, 3, 30, 49, 19, 44, 21, 14, 48, 42, 27, 39, 4, 8]","[18, 11, 32, 35, 31, 34, 6, 1, 45, 26]",[7]
4,"[48, 47, 22, 17, 29, 1, 33, 18, 24, 10, 28, 42, 30, 15, 4, 34, 20, 36, 16, 50, 40, 43, 11, 44, 31, 26, 8, 45, 21, 19, 32, 46, 5, 35, 27, 9, 49, 14, 6]","[25, 3, 41, 23, 2, 38, 39, 13, 37, 12]",[7]
5,"[36, 8, 46, 2, 21, 31, 15, 25, 23, 17, 19, 33, 37, 39, 32, 27, 49, 3, 42, 5, 35, 29, 4, 11, 10, 43, 12, 47, 26, 45, 48, 13, 34, 18, 1, 28, 38, 41, 14, 6]","[40, 44, 30, 50, 24, 9, 16, 22, 20]",[7]
1,"[43, 2, 18, 36, 45, 26, 35, 42, 13, 5, 20, 44, 14, 39, 3, 6, 38, 16, 31, 1, 37, 34, 10, 40, 41, 30, 17, 50, 11, 24, 22, 9, 7, 32, 23, 48, 4, 25, 12]","[21, 19, 15, 49, 33, 47, 28, 29, 27, 46]",[8]
2,"[33, 38, 3, 21, 16, 26, 13, 25, 35, 27, 31, 40, 34, 22, 45, 23, 30, 15, 2, 47, 19, 39, 29, 18, 49, 24, 37, 1, 6, 11, 20, 46, 12, 44, 28, 9, 50, 32, 41]","[14, 36, 4, 48, 42, 5, 10, 43, 17, 7]",[8]
3,"[28, 4, 49, 24, 9, 3, 40, 43, 10, 30, 29, 22, 25, 23, 17, 5, 36, 47, 21, 27, 42, 2, 50, 7, 37, 12, 38, 14, 13, 41, 33, 19, 16, 48, 46, 44, 20, 39, 15]","[34, 26, 11, 1, 31, 18, 35, 45, 32, 6]",[8]
4,"[40, 26, 34, 18, 27, 24, 47, 20, 1, 14, 35, 19, 36, 21, 46, 42, 17, 31, 4, 43, 29, 50, 45, 30, 15, 7, 33, 16, 28, 44, 49, 5, 22, 11, 9, 48, 10, 32, 6]","[39, 25, 3, 12, 23, 37, 13, 41, 38, 2]",[8]
5,"[13, 17, 46, 36, 37, 5, 7, 3, 47, 41, 29, 26, 31, 10, 25, 33, 18, 12, 2, 21, 32, 19, 34, 1, 27, 39, 11, 23, 14, 35, 45, 42, 6, 15, 28, 49, 4, 48, 43, 38]","[9, 22, 20, 40, 24, 50, 16, 44, 30]",[8]
1,"[10, 40, 42, 11, 44, 23, 26, 14, 50, 48, 16, 2, 36, 5, 13, 37, 43, 32, 41, 18, 7, 12, 31, 8, 45, 35, 38, 39, 3, 25, 22, 6, 34, 20, 24, 30, 17, 1, 4]","[27, 21, 15, 28, 29, 47, 49, 33, 46, 19]",[9]
2,"[49, 32, 18, 34, 20, 30, 38, 21, 26, 15, 22, 28, 33, 27, 29, 23, 11, 45, 35, 37, 41, 13, 16, 25, 2, 12, 8, 24, 3, 39, 50, 31, 47, 44, 46, 40, 19, 1, 6]","[4, 42, 5, 10, 48, 14, 43, 7, 17, 36]",[9]
3,"[36, 8, 42, 33, 17, 10, 19, 39, 20, 48, 46, 22, 5, 38, 41, 7, 16, 40, 2, 29, 25, 37, 24, 23, 4, 3, 49, 30, 50, 21, 12, 27, 47, 44, 43, 14, 13, 28, 15]","[11, 6, 35, 32, 18, 1, 34, 45, 26, 31]",[9]
4,"[10, 16, 29, 18, 30, 7, 6, 49, 24, 40, 8, 14, 46, 47, 15, 26, 50, 31, 4, 20, 35, 21, 5, 45, 17, 44, 1, 28, 11, 36, 27, 48, 34, 32, 33, 43, 19, 22, 42]","[23, 13, 37, 2, 25, 41, 38, 39, 3, 12]",[9]
5,"[19, 1, 23, 4, 28, 5, 21, 25, 33, 38, 36, 27, 45, 39, 43, 7, 11, 34, 2, 26, 3, 13, 41, 31, 35, 46, 29, 49, 14, 48, 32, 6, 42, 47, 18, 37, 10, 12, 17, 15]","[20, 22, 44, 50, 24, 40, 30, 16, 8]",[9]
1,"[37, 34, 26, 1, 30, 24, 12, 36, 18, 11, 9, 5, 32, 17, 13, 14, 25, 23, 20, 40, 48, 8, 22, 44, 7, 16, 41, 31, 3, 6, 4, 42, 38, 45, 43, 50, 39, 2, 35]","[33, 15, 29, 21, 28, 49, 19, 27, 47, 46]",[10]
2,"[15, 44, 31, 50, 41, 19, 30, 2, 33, 11, 34, 13, 26, 3, 38, 27, 35, 37, 12, 47, 16, 46, 24, 28, 32, 23, 39, 18, 21, 20, 40, 22, 6, 8, 1, 49, 29, 45, 25]","[9, 48, 4, 17, 36, 43, 7, 14, 42, 5]",[10]
3,"[50, 15, 49, 3, 40, 14, 9, 24, 30, 4, 23, 44, 20, 27, 43, 46, 13, 5, 16, 29, 48, 25, 28, 41, 12, 42, 8, 37, 7, 17, 22, 38, 21, 2, 19, 47, 39, 36, 33]","[32, 35, 26, 6, 45, 34, 1, 11, 31, 18]",[10]
4,"[32, 22, 7, 40, 49, 11, 4, 30, 29, 8, 9, 19, 18, 45, 46, 5, 28, 20, 26, 14, 31, 47, 16, 48, 6, 43, 42, 27, 44, 1, 36, 15, 24, 35, 21, 17, 34, 33, 50]","[13, 37, 3, 25, 41, 38, 39, 12, 23, 2]",[10]
5,"[46, 42, 1, 49, 15, 48, 27, 33, 29, 36, 23, 35, 14, 37, 13, 2, 18, 32, 21, 4, 41, 19, 17, 26, 45, 9, 38, 34, 47, 28, 39, 3, 31, 25, 43, 6, 5, 7, 11, 12]","[50, 8, 40, 16, 44, 24, 22, 30, 20]",[10]
1,"[42, 32, 18, 24, 5, 9, 7, 36, 39, 4, 50, 14, 40, 16, 48, 20, 31, 35, 44, 26, 41, 25, 17, 2, 38, 37, 6, 8, 3, 1, 10, 23, 45, 12, 30, 13, 43, 22, 34]","[19, 21, 15, 49, 46, 29, 28, 33, 27, 47]",[11]
2,"[22, 45, 8, 16, 31, 50, 46, 3, 25, 15, 44, 37, 6, 34, 35, 32, 19, 40, 38, 13, 21, 33, 27, 28, 12, 30, 20, 47, 41, 26, 49, 24, 1, 29, 10, 23, 2, 18, 39]","[48, 36, 9, 42, 5, 17, 7, 14, 43, 4]",[11]
3,"[37, 41, 24, 44, 12, 47, 7, 43, 21, 16, 8, 46, 28, 15, 25, 3, 40, 23, 2, 33, 39, 13, 20, 50, 38, 22, 27, 30, 4, 17, 29, 36, 42, 19, 14, 5, 9, 49, 48]","[1, 32, 45, 10, 34, 31, 26, 35, 18, 6]",[11]
4,"[44, 21, 40, 4, 18, 34, 29, 22, 43, 49, 35, 27, 50, 45, 30, 32, 24, 17, 14, 8, 1, 20, 15, 31, 33, 7, 46, 26, 48, 9, 6, 42, 47, 16, 28, 5, 19, 10, 36]","[3, 41, 38, 37, 13, 25, 39, 23, 12, 2]",[11]
5,"[46, 42, 41, 32, 13, 5, 4, 45, 33, 34, 25, 10, 28, 48, 6, 27, 2, 3, 38, 49, 29, 43, 37, 18, 19, 21, 1, 31, 12, 7, 9, 35, 39, 47, 17, 26, 23, 15, 36, 14]","[20, 8, 16, 22, 44, 40, 50, 30, 24]",[11]
1,"[4, 50, 41, 39, 35, 11, 30, 22, 34, 36, 2, 23, 10, 14, 7, 25, 48, 42, 9, 44, 5, 3, 8, 26, 37, 24, 45, 38, 16, 17, 31, 43, 20, 18, 6, 1, 13, 32, 40]","[19, 46, 29, 47, 28, 27, 33, 49, 15, 21]",[12]
2,"[31, 22, 38, 16, 25, 18, 47, 13, 1, 39, 40, 29, 11, 23, 3, 41, 34, 32, 28, 30, 37, 35, 44, 46, 8, 2, 6, 20, 27, 49, 24, 15, 19, 45, 21, 26, 33, 10, 50]","[43, 14, 7, 42, 4, 48, 17, 5, 9, 36]",[12]
3,"[39, 20, 36, 49, 5, 37, 33, 14, 8, 4, 21, 19, 2, 11, 48, 25, 13, 30, 27, 3, 50, 17, 15, 46, 40, 38, 29, 47, 42, 24, 7, 43, 23, 16, 44, 22, 9, 28, 41]","[10, 45, 1, 31, 35, 6, 18, 32, 26, 34]",[12]
4,"[46, 22, 8, 42, 9, 45, 24, 1, 5, 26, 47, 44, 49, 19, 48, 27, 15, 31, 20, 17, 18, 4, 7, 6, 21, 10, 34, 29, 33, 35, 28, 16, 36, 30, 43, 50, 14, 40, 32]","[37, 2, 41, 11, 38, 23, 13, 39, 25, 3]",[12]
5,"[14, 45, 7, 28, 43, 41, 15, 42, 18, 6, 11, 47, 5, 37, 4, 3, 32, 25, 21, 34, 36, 46, 9, 27, 29, 13, 10, 33, 26, 2, 48, 31, 39, 17, 38, 23, 1, 19, 35, 49]","[50, 16, 44, 22, 8, 40, 20, 30, 24]",[12]
1,"[18, 43, 16, 35, 30, 38, 25, 44, 41, 20, 5, 40, 50, 11, 32, 3, 48, 31, 12, 10, 37, 45, 8, 42, 2, 4, 39, 24, 26, 7, 17, 22, 14, 34, 9, 6, 1, 36, 23]","[15, 46, 28, 33, 49, 47, 19, 29, 21, 27]",[13]
2,"[2, 28, 21, 25, 44, 20, 8, 39, 11, 37, 12, 49, 32, 16, 3, 38, 6, 45, 34, 15, 23, 19, 47, 50, 33, 40, 29, 1, 46, 24, 31, 30, 27, 18, 26, 41, 35, 22, 10]","[14, 43, 36, 5, 48, 4, 9, 42, 7, 17]",[13]
3,"[44, 22, 41, 15, 38, 2, 14, 48, 50, 12, 36, 49, 19, 23, 28, 30, 9, 47, 20, 4, 43, 25, 21, 7, 42, 3, 39, 8, 11, 27, 24, 5, 17, 33, 40, 16, 37, 46, 29]","[34, 6, 45, 10, 1, 35, 18, 26, 31, 32]",[13]
4,"[43, 7, 50, 49, 29, 44, 14, 5, 21, 8, 40, 46, 30, 35, 1, 27, 17, 32, 9, 33, 47, 4, 15, 10, 45, 28, 36, 48, 24, 16, 19, 6, 31, 42, 22, 34, 20, 26, 18]","[37, 38, 12, 23, 2, 41, 25, 3, 39, 11]",[13]
5,"[48, 23, 28, 33, 11, 7, 17, 18, 5, 42, 21, 2, 41, 35, 43, 32, 31, 1, 46, 45, 15, 3, 37, 4, 36, 39, 9, 29, 19, 34, 12, 6, 14, 25, 10, 27, 26, 47, 49, 38]","[16, 44, 30, 24, 40, 22, 20, 8, 50]",[13]
1,"[24, 20, 30, 12, 13, 6, 35, 16, 23, 17, 42, 8, 50, 18, 36, 25, 40, 7, 3, 48, 22, 45, 43, 1, 44, 9, 32, 37, 2, 5, 26, 39, 31, 38, 10, 4, 34, 41, 11]","[46, 27, 21, 19, 29, 33, 15, 49, 47, 28]",[14]
2,"[33, 12, 50, 35, 41, 40, 8, 31, 1, 2, 29, 16, 49, 6, 46, 22, 26, 47, 25, 30, 19, 27, 3, 39, 44, 20, 24, 37, 11, 32, 10, 28, 21, 34, 45, 38, 23, 15, 18]","[43, 42, 13, 4, 9, 17, 5, 48, 7, 36]",[14]
3,"[22, 48, 17, 19, 38, 11, 12, 50, 16, 15, 27, 40, 20, 5, 23, 41, 9, 30, 36, 29, 43, 46, 2, 44, 25, 47, 4, 39, 49, 21, 37, 42, 3, 13, 28, 33, 7, 24, 8]","[1, 18, 35, 31, 32, 6, 45, 10, 26, 34]",[14]
4,"[27, 1, 45, 20, 18, 9, 30, 29, 6, 40, 19, 24, 50, 44, 8, 7, 46, 31, 49, 43, 33, 26, 4, 48, 35, 32, 10, 42, 15, 47, 5, 17, 34, 36, 22, 16, 28, 13, 21]","[39, 25, 3, 38, 41, 37, 23, 11, 12, 2]",[14]
5,"[2, 43, 18, 19, 10, 23, 7, 26, 31, 48, 36, 49, 35, 9, 39, 32, 42, 34, 4, 3, 21, 38, 17, 37, 45, 25, 29, 28, 41, 5, 11, 33, 13, 12, 47, 46, 27, 1, 6, 15]","[24, 30, 22, 40, 44, 8, 20, 16, 50]",[14]
1,"[50, 24, 35, 10, 39, 44, 40, 5, 41, 1, 16, 17, 4, 8, 11, 32, 30, 13, 36, 18, 3, 9, 7, 48, 20, 23, 25, 45, 43, 37, 6, 31, 42, 34, 38, 12, 2, 22, 26]","[28, 47, 29, 21, 27, 46, 33, 19, 49, 14]",[15]
2,"[33, 35, 6, 1, 40, 14, 31, 23, 19, 21, 22, 44, 3, 30, 50, 26, 37, 41, 16, 10, 29, 34, 27, 32, 24, 45, 38, 18, 25, 39, 11, 12, 47, 46, 28, 8, 20, 2, 49]","[4, 48, 42, 7, 5, 17, 43, 13, 36, 9]",[15]
3,"[28, 42, 48, 39, 12, 50, 24, 38, 43, 46, 49, 21, 16, 40, 13, 5, 9, 14, 27, 47, 2, 8, 23, 20, 7, 4, 36, 22, 11, 25, 29, 44, 33, 37, 17, 41, 3, 30, 19]","[35, 1, 34, 31, 6, 26, 10, 32, 18, 45]",[15]
4,"[45, 26, 34, 17, 8, 32, 47, 31, 7, 6, 14, 49, 46, 29, 40, 43, 24, 1, 16, 18, 30, 48, 21, 4, 44, 27, 10, 20, 33, 9, 19, 35, 5, 36, 13, 22, 50, 28, 42]","[41, 39, 2, 12, 25, 38, 3, 11, 23, 37]",[15]
5,"[12, 17, 5, 37, 36, 26, 43, 9, 32, 38, 47, 4, 33, 41, 19, 45, 27, 35, 42, 48, 18, 2, 3, 7, 25, 14, 31, 11, 28, 23, 34, 21, 6, 49, 29, 46, 1, 10, 39, 13]","[24, 30, 16, 8, 44, 20, 22, 50, 40]",[15]
1,"[15, 31, 44, 23, 1, 2, 7, 36, 35, 8, 10, 37, 18, 39, 25, 34, 17, 38, 50, 12, 4, 6, 30, 11, 45, 26, 13, 43, 40, 9, 20, 42, 24, 22, 32, 5, 3, 41, 48]","[21, 29, 14, 46, 28, 49, 27, 33, 19, 47]",[16]
2,"[47, 37, 11, 30, 27, 15, 20, 34, 1, 40, 49, 23, 50, 33, 6, 39, 26, 24, 12, 8, 35, 22, 18, 46, 19, 3, 29, 31, 45, 21, 41, 25, 10, 38, 14, 2, 28, 44, 32]","[13, 43, 36, 42, 9, 5, 4, 48, 7, 17]",[16]
3,"[2, 3, 27, 50, 44, 36, 48, 22, 24, 33, 30, 17, 20, 46, 7, 28, 43, 47, 25, 5, 21, 23, 40, 37, 49, 19, 8, 12, 14, 13, 39, 11, 38, 9, 4, 42, 15, 41, 29]","[6, 32, 45, 31, 1, 10, 26, 34, 35, 18]",[16]
4,"[47, 43, 14, 18, 29, 35, 24, 33, 49, 10, 42, 28, 27, 20, 19, 22, 9, 50, 45, 46, 26, 15, 44, 13, 4, 1, 5, 6, 8, 21, 48, 32, 34, 30, 40, 31, 7, 36, 17]","[12, 38, 25, 23, 37, 39, 2, 41, 11, 3]",[16]
5,"[21, 7, 37, 17, 45, 35, 33, 13, 3, 31, 10, 19, 5, 46, 38, 6, 49, 43, 29, 11, 34, 28, 25, 27, 9, 41, 18, 47, 14, 36, 23, 12, 2, 4, 1, 26, 42, 39, 48, 32]","[22, 8, 40, 44, 30, 50, 24, 20, 15]",[16]
1,"[44, 45, 42, 26, 43, 18, 30, 11, 35, 16, 6, 25, 39, 48, 38, 36, 34, 15, 3, 31, 7, 41, 12, 8, 24, 50, 1, 2, 37, 13, 32, 22, 10, 5, 4, 40, 20, 23, 9]","[21, 46, 47, 27, 19, 49, 29, 33, 28, 14]",[17]
2,"[24, 2, 30, 33, 10, 18, 23, 37, 35, 32, 11, 50, 26, 3, 8, 25, 45, 46, 39, 12, 27, 21, 29, 22, 20, 40, 47, 38, 28, 31, 34, 41, 15, 1, 19, 49, 6, 14, 44]","[9, 5, 42, 43, 48, 13, 16, 36, 4, 7]",[17]
3,"[36, 49, 27, 16, 11, 43, 42, 9, 28, 14, 19, 5, 23, 7, 8, 12, 25, 30, 40, 29, 46, 33, 20, 38, 2, 22, 48, 39, 3, 24, 21, 47, 37, 4, 13, 41, 50, 44, 15]","[35, 1, 26, 45, 34, 6, 18, 31, 32, 10]",[17]
4,"[35, 15, 21, 28, 36, 19, 48, 6, 8, 49, 47, 1, 13, 46, 22, 20, 27, 50, 10, 7, 26, 16, 5, 32, 24, 45, 33, 42, 44, 18, 4, 40, 9, 31, 34, 29, 14, 43, 30]","[2, 3, 39, 38, 41, 37, 25, 11, 23, 12]",[17]
5,"[10, 36, 43, 14, 29, 3, 11, 12, 16, 45, 42, 33, 25, 46, 1, 5, 6, 32, 7, 39, 2, 35, 26, 9, 31, 38, 34, 21, 27, 48, 47, 18, 41, 28, 4, 37, 49, 13, 23, 19]","[15, 8, 44, 50, 30, 24, 22, 20, 40]",[17]
1,"[2, 13, 45, 12, 11, 17, 50, 48, 40, 15, 31, 39, 6, 9, 34, 23, 42, 43, 37, 38, 8, 24, 32, 26, 30, 3, 5, 1, 10, 7, 20, 16, 44, 22, 35, 36, 41, 4, 25]","[14, 29, 33, 49, 47, 27, 19, 46, 21, 28]",[18]
2,"[50, 23, 39, 25, 3, 33, 20, 30, 6, 21, 40, 1, 35, 29, 26, 34, 14, 32, 31, 45, 37, 19, 46, 47, 10, 28, 41, 22, 11, 8, 2, 15, 38, 12, 24, 17, 27, 44, 49]","[5, 36, 13, 48, 42, 16, 43, 4, 9, 7]",[18]
3,"[12, 48, 36, 20, 21, 27, 13, 39, 30, 46, 43, 49, 25, 41, 37, 3, 16, 2, 40, 44, 29, 15, 22, 50, 28, 11, 4, 8, 24, 14, 33, 23, 47, 42, 19, 7, 5, 9, 38]","[34, 35, 6, 32, 1, 10, 17, 45, 31, 26]",[18]
4,"[1, 26, 43, 29, 47, 8, 34, 13, 14, 48, 30, 35, 6, 7, 9, 36, 45, 33, 49, 50, 22, 10, 32, 21, 24, 27, 28, 17, 31, 20, 5, 42, 4, 46, 16, 44, 15, 40, 19]","[11, 37, 25, 3, 2, 12, 23, 38, 39, 41]",[18]
